               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.018617,           0.0051065,                   0,             0.96654,             0.95613,             0.97807,             0.75494,            0.014774,           0.0035882,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01777,           0.0050181,                   0,              0.9648,              0.9549,             0.97907,             0.76351,            0.014612,           0.0035364,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018016,           0.0049601,                   0,             0.96979,              0.9508,             0.97981,             0.76163,            0.015144,            0.003562,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018319,           0.0052228,                   0,             0.96994,             0.95552,             0.97981,              0.7654,            0.014746,           0.0035463,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017144,           0.0049628,                   0,             0.96417,             0.96167,             0.98311,             0.76443,            0.014582,           0.0035081,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.017581,           0.0050241,                   0,             0.96674,             0.96205,             0.98215,             0.77293,            0.014248,           0.0034745,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017825,           0.0051337,                   0,             0.96524,             0.96167,              0.9826,              0.7702,            0.014318,           0.0034618,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01681,           0.0050454,                   0,             0.96451,             0.96167,             0.98305,             0.77349,            0.014135,           0.0034519,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017106,           0.0049098,                   0,             0.96681,             0.96436,             0.98394,             0.77588,            0.013916,           0.0034314,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017121,           0.0052214,                   0,             0.96695,             0.96852,             0.98715,             0.78239,             0.01367,           0.0034144,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016416,           0.0046609,                   0,             0.96595,              0.9669,             0.98469,              0.7841,            0.013508,           0.0033969,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016225,           0.0049905,                   0,             0.96857,             0.96644,             0.98742,             0.78357,            0.013375,           0.0033959,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.016502,           0.0048676,                   0,             0.96925,             0.96341,             0.98659,             0.78937,            0.013405,           0.0033983,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.017231,           0.0048047,                   0,             0.97188,             0.96333,             0.98784,             0.78745,            0.013401,            0.003371,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.015993,           0.0048437,                   0,             0.96858,             0.96685,             0.98693,             0.79051,            0.013313,           0.0033559,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.016139,           0.0047173,                   0,             0.96928,             0.96516,             0.98846,             0.79346,            0.013138,           0.0033424,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016331,           0.0050538,                   0,             0.96791,              0.9669,             0.98824,             0.79278,            0.013073,           0.0033306,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016257,           0.0051229,                   0,             0.96666,             0.96864,             0.98671,             0.79012,            0.012921,             0.00332,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015899,           0.0050831,                   0,             0.96914,              0.9669,             0.98812,             0.78963,            0.012941,            0.003321,                   0,            0.000298,            0.000298,            0.000298
